"log2FoldChange"	"padj"
"ENSG00000144619"	4.12891629593218	0.0267796747440001
"ENSG00000091181"	6.25849604310002	0.0296022856052458
"ENSG00000163705"	22.126263003611	9.67582875038448e-09
"ENSG00000234123"	22.0422962086477	1.06433597343424e-08
"ENSG00000077092"	2.24030589404167	0.00278238472097461
"ENSG00000163491"	5.0410045124901	0.0320495170291829
"ENSG00000144642"	3.88826900661676	0.0147778263570709
"ENSG00000168356"	4.91345131375441	0.0295418650500558
"ENSG00000235339"	21.1566231207337	2.97482618031413e-08
"ENSG00000235805"	21.053479367254	3.37816587151665e-08
"ENSG00000229515"	22.7220347961444	5.4646478433304e-09
"ENSG00000012223"	6.87927554018523	0.00286698021784993
"ENSG00000164078"	4.37120557132449	0.00390287732366145
"ENSG00000007402"	4.24054064145119	0.0186131728754395
"ENSG00000010319"	4.06733893399815	0.0344957754870735
"ENSG00000198643"	9.16905668359338	0.0108890143996123
"ENSG00000244222"	21.3573464341946	2.24289307876314e-08
"ENSG00000175161"	4.37490505588112	0.035438482856764
"ENSG00000241293"	5.33786383072555	0.0479403045351791
"ENSG00000064835"	7.14101798381938	0.0119852499001886
"ENSG00000179097"	20.4763434416957	8.17624888555158e-08
"ENSG00000242705"	21.9122027586401	1.215891395716e-08
"ENSG00000044524"	6.91034653315246	0.00689380753043682
"ENSG00000196578"	22.3788217187907	7.04050334992669e-09
"ENSG00000236032"	21.4463446584667	2.04801971295616e-08
"ENSG00000233412"	20.9633920745278	3.78612490827367e-08
"ENSG00000249321"	21.0517507076529	3.37892736627989e-08
"ENSG00000249975"	21.6058404685242	1.72470274257356e-08
"ENSG00000248507"	20.4080949273123	9.18753308667156e-08
"ENSG00000232382"	22.5920353395085	5.77361662339149e-09
"ENSG00000244153"	5.95421906018489	0.000920785435132614
"ENSG00000170017"	2.84197455310419	0.026381282237849
"ENSG00000273125"	5.10426301614219	0.019580633197134
"ENSG00000177707"	2.56837808248858	0.01865512019749
"ENSG00000240891"	3.90692321726067	0.0469658873429642
"ENSG00000144824"	5.0667184313318	1.12036778923802e-08
"ENSG00000206531"	22.9168299102641	5.17396032596709e-09
"ENSG00000240912"	20.7913342142359	4.85037212069001e-08
"ENSG00000174255"	21.9586862737322	1.15166880721435e-08
"ENSG00000198284"	21.2740317294051	2.5361932714736e-08
"ENSG00000179407"	21.8363099015671	1.31103968092278e-08
"ENSG00000163913"	1.28027904821986	0.0246612801407575
"ENSG00000163914"	7.86253009902682	0.0346973964908186
"ENSG00000168875"	21.3197976092978	2.36687190578073e-08
"ENSG00000181322"	5.5217562994817	0.023337822771815
"ENSG00000158220"	5.15908167039437	0.0201058629698438
"ENSG00000155890"	9.00261614791887	0.0312465844018317
"ENSG00000144891"	7.10696010272165	0.0446158354675556
"ENSG00000241627"	1.99115770484629	0.0447977961539172
"ENSG00000241929"	21.879919778736	5.4646478433304e-09
"ENSG00000163645"	5.4461879986329	0.0306437212342577
"ENSG00000152580"	8.08318401832815	0.000543908265459912
"ENSG00000179674"	21.1470238919159	3.00638717768792e-08
"ENSG00000243838"	20.9102552973271	4.08386046823504e-08
"ENSG00000085276"	5.37946931447912	0.0340654473531558
"ENSG00000121853"	22.0737658571776	1.04053044120886e-08
"ENSG00000224426"	22.2835274448806	7.9529492460754e-09
"ENSG00000239880"	21.9795192084746	1.12249168451589e-08
"ENSG00000213155"	21.38884077897	2.16839191751535e-08
"ENSG00000073849"	-1.60436817864731	0.0195507429892223
"ENSG00000127241"	6.07519436483566	0.0480927639988013
"ENSG00000187527"	9.38031424405259	0.00785559516213258
